ID,Real Angle,Estimated Angle,Line Midpoint
001,p1,90,230
002,p1,90,232
003,p1,90,221
004,p1,90,221
005,p1,90,222
006,p1,90,253
007,p1,90,349
008,p2,90,317
009,p2,90,325
010,p2,90,316
011,p2,90,249
012,p2,90,223
013,p3,90,224
014,p3,90,227
015,p3,90,229
016p3,10,90,223
017,p3,90,221
018,p3,90,224
019,p4,90,305
020,p4,90,272
021,p4,90,227
022,p4,90,233
023,p4,90,226
024,p4,90,234
025,p5,90,290
026,p5,90,233
027,p5,90,245
028,p5,90,233
029,p5,90,233
030,p5,90,236
031,0,90,228
033,0,90,227
035,5,90,239
037,5,90,224
039,10,90,247
041,10,90,277
043,0,90,295
045,0,90,269
047,5,90,233
049,5,90,262
051,10,90,243
053,10,90,241
055,0,90,258
057,0,90,229
059,5,90,295
061,5,90,256
063,10,90,302
065,10,90,284
067,0,90,259
069,0,90,231
071,5,90,259
073,5,90,227
075,10,90,221
077,10,90,281
079,0,90,266
081,0,90,221
083,5,90,221
085,5,90,267
087,10,90,280
089,10,90,234
091,0,90,250
093,0,90,241
095,5,90,226
097,5,90,256
099,10,90,223
101,10,90,249
103,0,90,268
105,0,90,233
107,5,90,259
109,5,90,263
111,10,90,227
113,10,90,227
115,0,90,259
117,0,90,231
119,5,90,233
121,5,90,221
123,10,90,292
125,10,90,255
127,0,90,271
129,0,90,223
131,5,90,256
133,5,90,255
135,10,90,273
137,10,90,265
139,0,90,239
141,0,90,221
143,5,90,239
145,5,90,232
147,10,90,233
149,10,90,275
