ID,Real Angle,Estimated Angle,Line Midpoint
001,p1,89.87113232143281,220.53652053687
002,p1,91.10178421748303,216.6268745025328
003,p1,81.72272475708529,242.51881024779163
004,p1,-1,-1
005,p1,-1,-1
006,p1,91.43593507043639,200.86209845551633
007,p1,-1,-1
008,p2,80.36681490419379,234.79139058024623
009,p2,-1,-1
010,p2,99.14941538508867,225.57924459141222
011,p2,-1,-1
012,p2,-1,-1
013,p3,-1,-1
014,p3,-1,-1
015,p3,-1,-1
016p3,10,-1,-1
017,p3,-1,-1
018,p3,-1,-1
019,p4,89.2054273555072,223.94103037924253
020,p4,90.9682948233001,203.3233905780088
021,p4,89.89494387212419,202.10463584154633
022,p4,-1,-1
023,p4,-1,-1
024,p4,-1,-1
025,p5,88.56468345422243,238.22163014258524
026,p5,90.32676574684862,202.39287913678132
027,p5,-1,-1
028,p5,-1,-1
029,p5,-1,-1
030,p5,88.35836969021065,207.3854923036024
031,0,90.26972752472962,221.44334952700882
033,0,-1,-1
035,5,91.55302178308703,209.28261079757158
037,5,-1,-1
039,10,-1,-1
041,10,-1,-1
043,0,87.16322795448909,210.26426790867714
045,0,88.87707251582222,222.0831645109345
047,5,99.26129832997835,222.06268118615657
049,5,92.24022480566308,199.38980147797656
051,10,95.15828281161555,212.94310288786983
053,10,91.38911884063144,210.03413803314822
055,0,87.71009540458577,224.45850318616533
057,0,-1,-1
059,5,-1,-1
061,5,-1,-1
063,10,-1,-1
065,10,101.18100996621706,210.66164154103848
067,0,97.58154693171066,229.90771886302718
069,0,87.75313271384353,214.6822740080824
071,5,95.41942752856987,228.61732898078458
073,5,-1,-1
075,10,89.13902247206667,204.92829654224607
077,10,-1,-1
079,0,90.26078438150552,196.38153072224216
081,0,87.94780021104913,243.90295549840715
083,5,78.22066697512729,249.85955614676968
085,5,81.15581360911054,243.9867048023379
087,10,76.69976942471027,249.7401922388043
089,10,87.60581598888655,205.61903156598737
091,0,85.93777902943575,222.06096387552492
093,0,89.95528884435896,198.0115879602264
095,5,-1,-1
097,5,-1,-1
099,10,-1,-1
101,10,-1,-1
103,0,90.09099509815691,200.35085900374798
105,0,90.22018518696076,208.16750684570763
107,5,-1,-1
109,5,-1,-1
111,10,83.74829247830442,241.50413652559786
113,10,88.93260176594193,241.33557282860832
115,0,90.34831241526362,198.17674417313282
117,0,-1,-1
119,5,90.80109584131449,210.8598890076537
121,5,-1,-1
123,10,-1,-1
125,10,90.8480001468449,222.1845247541121
127,0,-1,-1
129,0,87.28213765947794,229.89091418878579
131,5,88.70034417850717,223.14710424069938
133,5,-1,-1
135,10,-1,-1
137,10,-1,-1
139,0,89.6087910669732,231.87018897710527
141,0,89.48391720783306,206.0549287417174
143,5,90.59223435654424,210.51314317000242
145,5,-1,-1
147,10,83.1388340691592,228.46192598842208
149,10,91.18549008577527,201.55077735810238
