ID,Real Angle,Estimated Angle,Line Midpoint
032,0,90,157
034,0,90,141
036,5,90,160
038,5,90,141
040,10,90,196
042,10,90,159
044,0,90,199
046,0,90,198
048,5,90,172
050,5,90,149
052,10,90,162
054,10,90,167
056,0,90,175
058,0,90,149
060,5,90,162
062,5,90,180
064,10,90,189
066,10,90,156
068,0,90,173
070,0,90,162
072,5,90,175
074,5,90,146
076,10,90,144
078,10,90,171
080,0,90,182
082,0,90,156
084,5,90,141
086,5,90,148
088,10,90,163
090,10,90,144
092,0,90,166
094,0,90,188
096,5,90,174
098,5,90,141
100,10,90,145
102,10,90,146
104,0,90,141
106,0,90,167
108,5,90,151
110,5,90,141
112,10,90,141
114,10,90,150
116,0,90,141
118,0,90,164
120,5,90,142
122,5,90,141
124,10,90,181
126,10,90,155
128,0,90,195
130,0,90,149
132,5,90,213
134,5,90,150
136,10,90,309
138,10,90,201
140,0,90,148
142,0,90,147
144,5,90,165
146,5,90,141
148,10,90,167
150,10,90,148
